Month,Department,Actual_Expense,Budget_Expense
1/5/2024,Admin,16314.97485,16159.43306
1/5/2024,Tech_SaaS,16224.94487,17894.58969
1/6/2024,Marketing,29178.33338,32041.28348
1/6/2024,Payroll,148121.9916,125265.2043
1/6/2024,Logistics,30765.02342,27220.82506
1/6/2024,Admin,18692.69795,16404.30969
1/6/2024,Tech_SaaS,18553.58403,17656.78436
1/7/2024,Marketing,31697.14609,29413.9639
1/7/2024,Payroll,126203.3158,121214.7898
1/7/2024,Logistics,29223.13573,25145.45673
1/7/2024,Admin,15114.48401,15047.70749
1/7/2024,Tech_SaaS,17633.10694,17649.57693
1/8/2024,Marketing,30756.51916,29460.38848
1/8/2024,Payroll,120706.8352,117853.1688
1/8/2024,Logistics,31558.50559,26492.89927
1/8/2024,Admin,16813.1488,15789.52701
1/8/2024,Tech_SaaS,18077.09958,17726.78824
1/9/2024,Marketing,31046.62552,30936.07671
1/9/2024,Payroll,135216.9632,131708.025
1/9/2024,Logistics,28974.20805,25168.58549
1/9/2024,Admin,16481.21251,16309.45665
1/9/2024,Tech_SaaS,22057.67372,19592.66701
1/10/2024,Marketing,30327.40892,29796.89623
1/10/2024,Payroll,133647.2268,131111.2045
1/10/2024,Logistics,28522.35095,27358.34954
1/10/2024,Admin,16200.57487,15811.54149
1/10/2024,Tech_SaaS,20383.60093,19091.34551
1/11/2024,Marketing,47520.02559,39287.19285
1/11/2024,Payroll,115886.2168,122066.7732
1/11/2024,Logistics,28830.23685,25558.91698
1/11/2024,Admin,15146.33933,15100.7828
1/11/2024,Tech_SaaS,22669.20139,19866.47299
1/12/2024,Marketing,36944.96015,39822.42002
1/12/2024,Payroll,148984.0193,125251.373
1/12/2024,Logistics,29060.81049,25933.54951
1/12/2024,Admin,14703.49742,15019.468
1/12/2024,Tech_SaaS,18641.50774,18633.72187
